alias,role,email
Art 7,teacher,teacher1@teacherdomain.net
Art 7,teacher,teacher2@teacherdomain.net
Art 7,teacher,teacher3@teacherdomain.net
Art 7,student,student1@studentdomain.net
Art 7,student,student2@studentdomain.net
Art 7,student,student3@studentdomain.net
Art 7,student,student4@studentdomain.net
Art 7,student,student5@studentdomain.net
Art 7,student,student6@studentdomain.net
Art 7,student,student7@studentdomain.net
Art 7,student,student8@studentdomain.net
Art 7,student,student9@studentdomain.net
Art 7,student,student10@studentdomain.net
Art 7,student,student11@studentdomain.net
Math 8,teacher,teacher1@teacherdomain.net
Math 8,teacher,teacher2@teacherdomain.net
Math 8,teacher,teacher3@teacherdomain.net
Math 8,student,student1@studentdomain.net
Math 8,student,student2@studentdomain.net
Math 8,student,student3@studentdomain.net
Math 8,student,student4@studentdomain.net
Math 8,student,student5@studentdomain.net
Math 8,student,student6@studentdomain.net
Math 8,student,student7@studentdomain.net
Math 8,student,student8@studentdomain.net
Math 8,student,student9@studentdomain.net
Math 8,student,student10@studentdomain.net
Math 8,student,student11@studentdomain.net
Science 6,teacher,teacher1@teacherdomain.net
Science 6,teacher,teacher2@teacherdomain.net
Science 6,teacher,teacher3@teacherdomain.net
Science 6,student,student1@studentdomain.net
Science 6,student,student2@studentdomain.net
Science 6,student,student3@studentdomain.net
Science 6,student,student4@studentdomain.net
Science 6,student,student5@studentdomain.net
Science 6,student,student6@studentdomain.net
Science 6,student,student7@studentdomain.net
Science 6,student,student8@studentdomain.net
Science 6,student,student9@studentdomain.net
Science 6,student,student10@studentdomain.net
Science 6,student,student11@studentdomain.net
